"displayname","mothercount","postmonth","postyear"
"Advicer","4","1","2012"
"Advicer","8","2","2012"
"Advicer","11","3","2012"
"Advicer","5","4","2012"
"Ahmad","5","10","2015"
"Ahmad","3","11","2015"
"Ahmad","6","12","2015"
"Ahmad","6","1","2016"
"Ahmad","6","2","2016"
"AidanO","7","4","2012"
"AidanO","4","5","2012"
"AidanO","3","6","2012"
"A J","4","3","2016"
"A J","10","4","2016"
"A J","7","5","2016"
"A J","6","6","2016"
"A J","10","7","2016"
"A J","7","8","2016"
"Andrei Freeman","5","1","2012"
"Andrei Freeman","12","2","2012"
"Andrei Freeman","3","3","2012"
"Andrei Freeman","3","4","2012"
"Andrei Freeman","13","5","2012"
"Andrei Freeman","5","6","2012"
"Andrew Latham","3","12","2013"
"Andrew Latham","3","1","2014"
"Andrew Latham","3","2","2014"
"Andrew Martin","3","2","2014"
"Andrew Martin","126","3","2014"
"Andrew Martin","30","4","2014"
"Andrew Martin","31","5","2014"
"Andrew Martin","20","6","2014"
"Andrew Martin","14","7","2014"
"Andrew Martin","8","8","2014"
"Andrew Martin","66","11","2014"
"Andrew Martin","23","12","2014"
"Andrew Martin","3","1","2015"
"Andrew Martin","28","2","2015"
"Andrew Martin","6","1","2016"
"Andrew Martin","111","2","2016"
"Andrew Martin","31","3","2016"
"Andrew Martin","7","4","2016"
"Andrew Thompson","7","6","2014"
"Andrew Thompson","7","7","2014"
"Andrew Thompson","7","8","2014"
"Andrew Thompson","5","9","2014"
"Ankit","8","4","2013"
"Ankit","9","5","2013"
"Ankit","3","6","2013"
"Ankit","11","7","2014"
"Ankit","20","8","2014"
"Ankit","19","9","2014"
"Ankit","13","10","2014"
"Ankit","20","11","2014"
"Ankit","3","12","2014"
"Ankit","8","4","2015"
"Ankit","4","5","2015"
"Ankit","4","6","2015"
"Ankit","6","7","2015"
"Ankit","6","8","2015"
"Ankit","9","9","2015"
"Ankit","7","10","2015"
"Ankit Sharma","9","4","2012"
"Ankit Sharma","15","5","2012"
"Ankit Sharma","4","6","2012"
"Ankit Sharma","6","7","2012"
"Ankit Sharma","7","8","2012"
"Ankit Sharma","7","9","2012"
"Ankit Sharma","5","10","2012"
"Ankit Sharma","48","11","2012"
"Ankit Sharma","41","12","2012"
"Ankit Sharma","53","1","2013"
"Ankit Sharma","68","2","2013"
"Ankit Sharma","44","3","2013"
"Ankit Sharma","11","4","2013"
"Ankit Sharma","10","5","2013"
"Ankit Sharma","13","6","2013"
"Ankit Sharma","15","7","2013"
"Ankit Sharma","15","8","2013"
"Ankit Sharma","39","9","2013"
"Ankit Sharma","36","10","2013"
"Ankit Sharma","20","11","2013"
"Ankit Sharma","15","12","2013"
"Ankit Sharma","18","1","2014"
"Ankit Sharma","3","2","2014"
"Ankit Sharma","4","3","2014"
"Ankit Sharma","5","4","2014"
"Ankit Sharma","15","5","2014"
"Ankit Sharma","4","6","2014"
"Ankit Sharma","3","7","2014"
"Ankit Sharma","5","8","2014"
"Ankit Sharma","6","9","2014"
"Ankit Sharma","4","10","2014"
"Ankit Sharma","3","11","2014"
"Ankit Sharma","8","12","2014"
"Ankit Sharma","8","1","2015"
"Ankit Sharma","17","2","2015"
"Ankit Sharma","11","3","2015"
"Ankit Sharma","6","4","2015"
"Ankit Sharma","7","5","2015"
"Ankit Sharma","7","6","2015"
"Ankit Sharma","6","7","2015"
"Ankit Sharma","8","8","2015"
"Ankit Sharma","9","9","2015"
"Ankit Sharma","12","10","2015"
"Ankit Sharma","22","2","2016"
"Ankit Sharma","24","3","2016"
"Ankit Sharma","20","4","2016"
"Ankit Sharma","30","5","2016"
"Ankit Sharma","63","6","2016"
"Ankit Sharma","22","7","2016"
"Ankit Sharma","34","8","2016"
"ArturBalestro","4","12","2013"
"ArturBalestro","5","1","2014"
"ArturBalestro","4","2","2014"
"AtanuCSE","3","8","2014"
"AtanuCSE","3","9","2014"
"AtanuCSE","3","10","2014"
"AtanuCSE","3","11","2014"
"AtanuCSE","5","10","2015"
"AtanuCSE","3","11","2015"
"AtanuCSE","3","12","2015"
"atticae","3","3","2014"
"atticae","4","4","2014"
"atticae","21","5","2014"
"atticae","16","6","2014"
"atticae","3","11","2014"
"atticae","5","12","2014"
"atticae","4","1","2015"
"atticae","7","2","2015"
"atticae","4","3","2015"
"Barry Hammer","10","12","2011"
"Barry Hammer","9","1","2012"
"Barry Hammer","5","2","2012"
"BCdotWEB","5","2","2015"
"BCdotWEB","12","3","2015"
"BCdotWEB","4","4","2015"
"BCdotWEB","7","5","2015"
"BCdotWEB","6","6","2015"
"BCdotWEB","5","8","2015"
"BCdotWEB","4","9","2015"
"BCdotWEB","3","10","2015"
"BCdotWEB","4","11","2015"
"BCdotWEB","5","12","2015"
"BCdotWEB","14","1","2016"
"BCdotWEB","5","2","2016"
"BCdotWEB","8","3","2016"
"BCdotWEB","6","4","2016"
"BCdotWEB","5","5","2016"
"BCdotWEB","19","6","2016"
"BCdotWEB","9","7","2016"
"BCdotWEB","4","8","2016"
"BCdotWEB","3","9","2016"
"bobbyalex","3","9","2014"
"bobbyalex","5","10","2014"
"bobbyalex","4","11","2014"
"bobbyalex","3","12","2014"
"Bon Gart","3","6","2013"
"Bon Gart","10","7","2013"
"Bon Gart","8","8","2013"
"Bon Gart","6","9","2013"
"BrettFromLA","3","2","2014"
"BrettFromLA","5","3","2014"
"BrettFromLA","5","4","2014"
"BrettFromLA","5","5","2014"
"BrettFromLA","5","6","2014"
"BrettFromLA","6","7","2014"
"BrettFromLA","8","10","2014"
"BrettFromLA","7","11","2014"
"BrettFromLA","6","12","2014"
"BrettFromLA","5","1","2015"
"BrettFromLA","4","2","2015"
"BrettFromLA","4","4","2015"
"BrettFromLA","6","5","2015"
"BrettFromLA","3","6","2015"
"BrettFromLA","3","7","2015"
"Cascabel","4","2","2016"
"Cascabel","9","3","2016"
"Cascabel","7","4","2016"
"Catija","4","1","2015"
"Catija","16","2","2015"
"Catija","15","3","2015"
"Catija","4","4","2015"
"Catija","17","5","2015"
"Catija","17","6","2015"
"Catija","10","7","2015"
"Catija","12","8","2015"
"Catija","10","9","2015"
"Catija","5","10","2015"
"Catija","8","11","2015"
"Catija","4","12","2015"
"Catija","4","1","2016"
"Catija","6","2","2016"
"Catija","18","3","2016"
"Catija","4","4","2016"
"Catija","4","5","2016"
"Catija","8","6","2016"
"cde","28","8","2015"
"cde","48","9","2015"
"cde","42","10","2015"
"cde","65","11","2015"
"cde","32","12","2015"
"cde","32","1","2016"
"cde","67","2","2016"
"cde","45","3","2016"
"cde","44","4","2016"
"cde","57","5","2016"
"cde","52","6","2016"
"cde","29","7","2016"
"cde","31","8","2016"
"cde","4","9","2016"
"CGCampbell","12","5","2014"
"CGCampbell","12","6","2014"
"CGCampbell","7","7","2014"
"CGCampbell","6","8","2014"
"CGCampbell","6","9","2014"
"CGCampbell","7","10","2014"
"CGCampbell","12","11","2014"
"chaitanya89","5","5","2014"
"chaitanya89","4","6","2014"
"chaitanya89","5","7","2014"
"chaitanya89","7","8","2014"
"chaitanya89","5","10","2014"
"chaitanya89","5","11","2014"
"chaitanya89","4","12","2014"
"chaitanya89","5","1","2015"
"chaitanya89","7","2","2015"
"chaitanya89","11","3","2015"
"chaitanya89","3","4","2015"
"chaitanya89","5","5","2015"
"Chanandler Bong","19","3","2015"
"Chanandler Bong","11","4","2015"
"Chanandler Bong","4","5","2015"
"Chanandler Bong","5","6","2015"
"Chanandler Bong","14","7","2015"
"Chanandler Bong","9","8","2015"
"Chanandler Bong","6","2","2016"
"Chanandler Bong","10","3","2016"
"Chanandler Bong","7","4","2016"
"Chanandler Bong","7","5","2016"
"Chanandler Bong","6","6","2016"
"Chanandler Bong","3","7","2016"
"Chanandler Bong","8","8","2016"
"chcuk","5","5","2012"
"chcuk","3","6","2012"
"chcuk","4","7","2012"
"Chenmunka","4","1","2015"
"Chenmunka","7","2","2015"
"Chenmunka","5","3","2015"
"Chenmunka","4","4","2015"
"Chenmunka","3","5","2015"
"Chenmunka","3","6","2015"
"Chenmunka","7","7","2015"
"Chenmunka","4","8","2015"
"Chenmunka","5","9","2015"
"Chenmunka","3","10","2015"
"Chenmunka","3","11","2015"
"Chenmunka","3","12","2015"
"Chenmunka","3","1","2016"
"coleopterist","4","12","2012"
"coleopterist","4","1","2013"
"coleopterist","5","2","2013"
"coleopterist","9","3","2013"
"coleopterist","7","4","2013"
"coleopterist","7","6","2013"
"coleopterist","19","7","2013"
"coleopterist","14","8","2013"
"coleopterist","67","9","2013"
"coleopterist","64","10","2013"
"coleopterist","73","11","2013"
"coleopterist","83","12","2013"
"Community","6","8","2012"
"Community","63","9","2012"
"Community","9","10","2012"
"Community","56","11","2012"
"Community","58","12","2012"
"Community","21","1","2013"
"Community","3","5","2013"
"Community","3","6","2013"
"Community","7","7","2013"
"Community","37","8","2013"
"Community","4","9","2013"
"Community","4","10","2013"
"Community","5","1","2015"
"Community","16","2","2015"
"Community","15","3","2015"
"Community","6","4","2015"
"Community","8","5","2015"
"Community","10","6","2015"
"Community","11","7","2015"
"Community","9","8","2015"
"Community","9","9","2015"
"Community","4","10","2015"
"Community","27","11","2015"
"Community","25","12","2015"
"Community","8","1","2016"
"Community","4","2","2016"
"Community","22","3","2016"
"Community","29","4","2016"
"Community","5","5","2016"
"Community","5","6","2016"
"Community","10","7","2016"
"Community","25","8","2016"
"Crow T Robot","6","5","2014"
"Crow T Robot","126","6","2014"
"Crow T Robot","57","7","2014"
"Crow T Robot","31","8","2014"
"Crow T Robot","6","9","2014"
"Crow T Robot","11","10","2014"
"DA.","4","5","2015"
"DA.","8","6","2015"
"DA.","3","7","2015"
"DA.","4","8","2015"
"DA.","7","9","2015"
"DA.","3","10","2015"
"DA.","5","12","2015"
"DA.","5","1","2016"
"DA.","3","2","2016"
"Dark Army","26","8","2015"
"Dark Army","29","9","2015"
"Dark Army","12","10","2015"
"Dark Army","7","11","2015"
"Dark Army","8","2","2016"
"Dark Army","10","3","2016"
"Dark Army","7","4","2016"
"Dark Army","10","5","2016"
"DarthBotto","5","3","2015"
"DarthBotto","3","4","2015"
"DarthBotto","10","5","2015"
"DarthBotto","5","6","2015"
"davidlumix","3","4","2015"
"davidlumix","4","5","2015"
"davidlumix","3","6","2015"
"dbugger","8","7","2016"
"dbugger","12","8","2016"
"dbugger","4","9","2016"
"Decypher","6","2","2016"
"Decypher","16","3","2016"
"Decypher","8","4","2016"
"DForck42","9","12","2011"
"DForck42","7","1","2012"
"DForck42","7","2","2012"
"DForck42","17","3","2012"
"DForck42","5","4","2012"
"DForck42","18","5","2012"
"DForck42","26","6","2012"
"DForck42","18","7","2012"
"DForck42","8","8","2012"
"DForck42","8","9","2012"
"DForck42","11","10","2012"
"DForck42","17","12","2012"
"DForck42","6","1","2013"
"DForck42","7","2","2013"
"DForck42","8","3","2013"
"DForck42","14","4","2013"
"DForck42","12","5","2013"
"DForck42","14","6","2013"
"DForck42","10","7","2013"
"djmadscribbler","5","4","2013"
"djmadscribbler","7","5","2013"
"djmadscribbler","4","6","2013"
"Dominic G.","11","3","2016"
"Dominic G.","10","4","2016"
"Dominic G.","3","5","2016"
"Drew C","3","2","2016"
"Drew C","3","3","2016"
"Drew C","5","4","2016"
"Drew C","4","5","2016"
"Dr R Dizzle","3","8","2015"
"Dr R Dizzle","7","9","2015"
"Dr R Dizzle","7","10","2015"
"Dr R Dizzle","4","11","2015"
"druciferre","3","5","2013"
"druciferre","7","6","2013"
"druciferre","3","7","2013"
"DustinDavis","3","7","2014"
"DustinDavis","6","8","2014"
"DustinDavis","4","9","2014"
"EdChum","3","2","2015"
"EdChum","13","3","2015"
"EdChum","3","4","2015"
"eYe","9","8","2015"
"eYe","22","9","2015"
"eYe","13","10","2015"
"eYe","7","11","2015"
"eYe","16","1","2016"
"eYe","16","2","2016"
"eYe","23","3","2016"
"eYe","16","4","2016"
"eYe","12","5","2016"
"eYe","3","6","2016"
"FredH","29","5","2013"
"FredH","32","6","2013"
"FredH","3","7","2013"
"Hack-R","3","4","2016"
"Hack-R","5","5","2016"
"Hack-R","5","6","2016"
"iandotkelly","53","12","2011"
"iandotkelly","10","1","2012"
"iandotkelly","4","2","2012"
"iandotkelly","7","3","2012"
"iandotkelly","9","4","2012"
"iandotkelly","6","5","2012"
"iandotkelly","4","6","2012"
"iandotkelly","4","7","2012"
"iandotkelly","8","12","2012"
"iandotkelly","11","1","2013"
"iandotkelly","7","2","2013"
"iandotkelly","5","3","2013"
"iandotkelly","4","9","2013"
"iandotkelly","5","10","2013"
"iandotkelly","4","11","2013"
"iandotkelly","4","4","2014"
"iandotkelly","3","5","2014"
"iandotkelly","6","6","2014"
"inkista","4","5","2015"
"inkista","4","6","2015"
"inkista","4","7","2015"
"Jeff Mahaney","3","12","2013"
"Jeff Mahaney","7","1","2014"
"Jeff Mahaney","12","2","2014"
"Johnny Bones","8","2","2014"
"Johnny Bones","21","3","2014"
"Johnny Bones","8","4","2014"
"Johnny Bones","6","5","2014"
"Johnny Bones","13","6","2014"
"Johnny Bones","17","7","2014"
"Johnny Bones","21","8","2014"
"Johnny Bones","22","9","2014"
"Johnny Bones","25","10","2014"
"Johnny Bones","25","11","2014"
"Johnny Bones","31","12","2014"
"Johnny Bones","28","1","2015"
"Johnny Bones","36","2","2015"
"Johnny Bones","26","3","2015"
"Johnny Bones","20","4","2015"
"Johnny Bones","16","5","2015"
"Johnny Bones","7","6","2015"
"Johnny Bones","12","8","2015"
"Johnny Bones","4","9","2015"
"Johnny Bones","7","10","2015"
"Johnny Bones","3","11","2015"
"Johnny Bones","12","12","2015"
"Johnny Bones","14","1","2016"
"Johnny Bones","24","2","2016"
"Johnny Bones","6","3","2016"
"Johnny Bones","10","4","2016"
"Johnny Bones","7","5","2016"
"Johnny Bones","7","6","2016"
"Johnny Bones","7","7","2016"
"Johnny Bones","14","8","2016"
"Johnny Bones","3","9","2016"
"JohnP","7","11","2013"
"JohnP","8","12","2013"
"JohnP","12","1","2014"
"JohnP","7","2","2014"
"JohnP","10","3","2014"
"JohnP","11","4","2014"
"JohnP","8","5","2014"
"JohnP","8","6","2014"
"John Smith Optional","8","10","2013"
"John Smith Optional","6","11","2013"
"John Smith Optional","18","12","2013"
"John Smith Optional","41","1","2014"
"John Smith Optional","15","2","2014"
"John Smith Optional","12","3","2014"
"John Smith Optional","12","4","2014"
"John Smith Optional","8","5","2014"
"John Smith Optional","23","6","2014"
"John Smith Optional","14","7","2014"
"John Smith Optional","13","8","2014"
"John Smith Optional","12","9","2014"
"John Smith Optional","7","11","2014"
"John Smith Optional","7","12","2014"
"John Smith Optional","10","1","2015"
"John Smith Optional","3","4","2016"
"John Smith Optional","8","5","2016"
"John Smith Optional","5","6","2016"
"John Smith Optional","3","7","2016"
"John Smith Optional","4","8","2016"
"Kevin Howell","7","1","2012"
"Kevin Howell","9","2","2012"
"Kevin Howell","4","3","2012"
"Kevin Howell","3","4","2012"
"Kevin Howell","5","5","2012"
"Kevin Howell","10","6","2012"
"Kevin Howell","9","7","2012"
"Kevin Howell","9","12","2012"
"Kevin Howell","4","1","2013"
"Kevin Howell","3","2","2013"
"Kevin Howell","5","3","2013"
"Kevin Howell","4","5","2014"
"Kevin Howell","8","6","2014"
"Kevin Howell","5","7","2014"
"KeyBrd Basher","9","11","2012"
"KeyBrd Basher","11","12","2012"
"KeyBrd Basher","12","1","2013"
"KeyBrd Basher","5","2","2013"
"KeyBrd Basher","7","3","2013"
"kicker86","9","6","2013"
"kicker86","17","7","2013"
"kicker86","36","8","2013"
"kicker86","19","9","2013"
"kl78","11","8","2015"
"kl78","4","9","2015"
